key,time[ns]
175602569,70
226954691,40
719375436090851328,20
1220452458289422344,60
1251794905594200065,30
1306377488344461312,40
1318407040599982081,30
1124623431377543169,40
2832879748,40
120794576,20
1187514860654989313,40
823493216,20
814860153715617792,0
1054842773852033026,10
193526905,50
2999734385,30
150417325,0
174434434,50
95056074,30
1311732286501588995,30
4158663616,50
763494751647784960,20
348779009,40
951783646763147265,30
1255987024282214400,30
979364812823187456,30
1264908215655051265,40
87555841,10
67219131,60
3014459913,40
1374091915440885761,40
1043910345176145920,40
230570097,60
1292538483114991617,30
974454589482299392,70
221351745,30
3350344391,50
55679694,30
740295109846138880,80
1175460944085954560,40
3053992987,50
500242613,40
1383152431928856577,40
1239208835597963264,50
396154546,20
985206526871777280,50
1042006119189819392,50
1188262943441543169,60
823672879640244224,30
2866753402,40
3138966863,50
929165837864488961,40
1016744722004627456,50
918841282197426176,20
877379555044069380,50
954039927255289856,50
270965193,20
1084506927927836672,30
1347348512963502082,30
464146913,30
1163565015036833794,40
895441764735225860,40
1367139650519904260,50
1234575299586789377,30
760851278,30
1213139508687855616,40
900520997182459907,0
240758477,80
122050953,40
872243586,50
1083150315346673665,40
67723121,40
1370984029,40
1351532015401766913,40
63285695,30
607606955,40
403061780,30
884923473205788677,30
1235968279627341824,30
348619040,50
765292310410194944,50
1378060307298455566,40
1034272294976348162,10
1348225250,40
3314899643,30
1102564461125271552,40
80720809,40
1248648536205467654,60
954017130999173120,40
1372977214921322498,50
50627465,30
1376006279538343945,40
1358098056705699840,60
1188812601167364097,30
1021030277299294208,60
143317866,40
1387608753273516035,40
145429538,10
335072055,10
1336884986717364225,30
171534061,60
1377756983340716035,50
1347246275847200770,50
1245461698489782272,70
1139050558529179649,60
1048762266022240256,40
64947352,70
2972146773,50
51646107,40
3120222796,30
1377787931499360256,20
1003485507182120961,20
1024339320717672449,40
1067213041257852929,50
1223039122379628544,30
1154886863758475266,0
1246940660936118272,20
1186835247939358720,0
3076073224,40
798608916015939584,40
1117244378995658752,60
1267525934074269696,40
1185738394686705664,60
2798726385,10
1183858136727392258,20
1002569353525637121,40
1249208545796599809,50
44249681,40
1226305470715002880,30
922345554,30
261882491,30
1185924625789796352,40
1975406424,40
4701657912,40
264288561,30
2947507695,70
626327066,60
722224838144880641,70
4860327240,40
264312652,20
566848270,50
1309677993644756994,40
59378799,30
1321529281869209603,0
929314871728136192,10
1186335319890812928,50
1336760005572370433,50
122525387,20
171199702,30
1385063734666797059,40
1332046787327234050,30
1192537146646781957,30
746584899394506752,30
1188293857055793152,20
1239240478945685507,40
1368272931390959618,70
177670033,50
20792701,50
1284299698321477634,20
1556173386,60
1340300574810656779,60
1375939806123921414,30
912823155927977985,40
1174732881412939777,50
180165576,20
627937872,50
38494309,40
170888380,40
123087096,40
1232837918210904064,60
1300286106529927168,40
1382517729337483266,30
60414021,20
1062851081435258880,50
308804337,50
280687108,40
18732153,40
1317591744050024450,40
1267999953365995521,40
897218206527623168,40
3418596876,30
1050381402414440449,30
1206721764,40
2557793919,50
225561373,60
1229852702802358273,50
171206740,30
220579196,30
2795898796,40
3400729383,30
1185400608506945539,50
1055979981120172032,30
1387040773888118796,70
364892600,30
1185536882152738816,40
720641396856791040,40
1247902017969770496,40
1352644639149453320,30
1362076628596240384,40
1195452848848457731,50
1221760253664137217,60
3437916970,40
755788639322382336,30
1248739575943417856,40
292627886,40
285463199,30
1344671634960093184,30
1267603722575720448,50
155605760,30
1314312092476940288,70
1548303164,20
3029223471,40
760589762134732801,30
1188947336090804224,30
95514345,40
357644151,30
826515137443950592,40
2897540433,40
364334686,20
3244730037,40
1185382318862733312,30
1182899802583031808,50
203310573,40
1285627532516241409,70
776474196,50
90562163,30
146933716,20
2427319015,40
2877042770,50
322840783,50
1234290695667621888,40
3135446200,30
257801224,50
1194330105067311104,30
415755639,40
1220361338,30
1284203409328017408,50
1304424621257752582,50
851898500149374977,50
710238914808848384,40
1031711342389092352,70
308230831,40
1294122703880884230,40
1250809078059634692,50
70243042,30
1275926066620661760,50
908426136434171904,40
1415753479,30
459288663,40
3134663452,70
2788808538,50
1194438926448103426,60
193122138,30
4865219955,20
913464033768026118,50
576217240,40
3228765815,40
1064261425,20
1290034269507788801,30
2181032763,50
1149792781415485441,40
1369705447398268932,60
1114643890437533702,40
151960926,40
55464793,40
309232918,40
1334583315085598720,10
1351393499179053057,50
99584985,40
848573605,30
918617769255624705,60
227002738,30
331982217,50
313658608,30
465184873,70
212053016,50
222991487,30
81481941,0
1173106427369574401,30
1325762377170767872,30
754486315488509953,40
563290401,30
1357200683666190338,60
73222278,30
2393065592,40
242878891,50
1330864234981449730,30
185842654,40
1235276599790104577,60
877575153462296576,10
714857661326630913,60
1239698832025321473,40
1192093424553463808,50
3740816487,50
827717306088353794,30
2446037264,40
1268026392085659648,40
141273935,30
1264949724840255488,30
1395736155094720518,50
