key,time[ns]
4910142,50
7854131,40
5895826,30
381216,40
1028992,20
8233048,40
7474511,40
9291902,40
5544010,30
7501119,40
3654428,30
1620272,10
1994537,30
3417596,20
1754917,20
1672744,30
6880146,0
3311695,30
9732356,20
2125270,20
9234282,20
5402031,20
7093005,30
5069611,20
4859134,20
2194204,10
6208052,30
7963415,40
8569886,40
5574132,40
993048,50
9653856,40
261883,20
4643446,40
2099579,20
7676324,40
3512648,30
194160,30
1122277,30
2588547,30
7749424,40
3657705,30
9980451,20
5967996,30
2386700,30
4209423,30
140509,40
5925789,40
5666685,40
5227055,30
1453296,20
4599581,30
904266,30
9025140,40
5480354,40
8093519,30
1690378,30
7377148,20
3543860,30
8123206,40
3295478,20
3284963,50
3524654,20
6207476,0
6025013,30
3296468,40
5734102,40
4514273,20
57424,30
2027839,40
9127469,20
2811687,20
5704417,20
6276683,30
416884,30
5651151,40
7012417,10
5568302,30
5624399,30
3119556,40
830730,10
9977919,30
8752230,40
1876084,30
1358721,30
9777162,30
9252291,10
5078061,30
1423709,20
7766694,20
8858733,50
9743801,40
4146660,30
2593832,30
8020401,40
4526175,40
8083010,30
3888577,30
4418237,30
1196966,50
2716149,10
9145553,80
7372324,20
4147112,30
5769087,40
7600905,40
5107104,30
1896377,50
9870769,20
4340900,10
6864217,0
3537738,40
864880,30
102749,20
1467162,40
7930028,30
5780221,40
300658,30
2227137,40
752841,20
3559263,20
9542227,50
1554864,40
9282801,30
4720576,50
9884632,30
5773978,20
7696908,20
2230199,20
3167491,40
426287,30
1963568,30
9047703,40
1244770,20
2071671,20
8215258,40
67342,30
5058028,20
2526146,50
4658799,10
8701759,40
9740260,10
8659114,50
5867676,40
9031930,20
6727288,20
3768047,30
6347788,50
1708261,30
5743740,40
514279,20
6112424,30
2786236,30
6682370,10
7746402,40
7233511,20
8839802,50
1161559,10
7302427,30
9875340,30
1363971,20
6360500,30
7863300,40
1737272,20
4658742,10
400926,30
3633416,40
5018245,40
1800952,20
3366484,30
6213455,40
3890352,30
1575226,30
6629779,40
330893,20
6827974,20
6244670,40
7121878,30
1772744,20
7507789,40
1373606,20
7666420,20
8891719,20
747922,30
6762888,20
7439666,40
9514500,0
4333834,30
7528504,30
7327802,20
7075171,20
5897089,40
2167175,30
7487024,60
5970483,40
8297088,50
8405176,30
1785950,20
9759852,10
2141365,30
2535584,10
6074948,30
1705114,30
6002499,40
7024967,10
474605,40
2201785,30
9742932,40
2712316,10
798719,30
1795894,30
1649551,30
8898224,30
6803622,0
4972801,40
1956116,40
1779017,30
4863414,20
5824440,50
5138510,30
6737395,30
7421705,10
2090678,30
830919,50
9354053,70
4779255,50
4735108,40
98099,20
5429924,30
8572306,20
1021688,40
6523111,30
8702578,40
7955682,20
2774930,20
4447274,30
6822875,0
4513076,20
6696659,10
8940983,20
6808098,10
4572447,30
4105659,40
5865914,40
9934776,0
7680601,20
1353456,40
7793401,30
4494300,20
9389874,50
3413595,30
6712362,10
3238695,20
8812126,40
7039774,10
6305276,60
3687871,30
2920249,40
1441215,10
7451321,40
4929289,50
8679009,30
1177766,40
4478431,30
6822189,0
8761189,20
2223080,40
8469183,50
7585081,40
7327123,30
5316976,30
7169198,10
7802117,20
7229861,30
3799712,30
9813171,40
3134996,10
3254051,40
5921976,10
1588258,40
6717606,0
6440370,50
260276,30
8766277,40
9097058,60
9351064,50
6812675,30
6268335,50
5187080,50
720420,30
3968348,30
6388913,60
9741726,10
4138391,30
2436759,20
3996032,30
4935413,50
5853291,30
3661707,40
736041,30
