key,time[ns]
Darm2k1,190
jsarabiv,220
JMolinaPelayo,160
profesortbaker,220
sofria_gs,230
edoplaza1,230
Easybeauty1810,230
pguajardo_,240
ConsejoSalmon,230
HectorBarrenec4,250
CLAUDIOCUEVAS1,250
ngelavilaCid1,270
rod_rojasleon,230
gabriel_reboll,260
mbasualtol,220
Sx0ri,210
AnaHuenten,270
ciencia_unab,190
miguelurreab,220
SantiClaudio9,200
Josu39825990,200
paula_pavez,230
zagrarioo,130
cyber_party,210
PizarrroSofia,170
daaany_f,190
LicClaudia4,200
Mximo51872020,240
Patrici51580852,350
ConsorcioFruta,200
Daniela27179210,300
SergioOchoaM,180
felicinda04,180
VoltsChrist,190
marceladiaz_g,220
4nntonia,200
Namila06,220
piprujap,190
noemiapv,220
Dilam54647935,270
natiperiodista,180
chicowhoball,220
jenypey,200
MaiaMontana_,260
flovillagranx,210
yeri_ae,230
marcoaravena,170
mapa4824,180
sinvirunvica,210
nandzan,200
macuna70,220
ClaudiaPangui1,260
Consuelmm,210
RocioGo28410023,250
leonelfierro,240
ConitaPardo,210
PncSmptrn,190
HumelabApp,200
ery_erazo,180
MaryMartinezAba,230
republicando_cl,210
Maurici00352106,350
jrgvalencia,230
alend01399300,230
sergio_uribe_m,260
Luis_QuiVal,200
pnsv190891,250
jotamesi,200
Ricardo54961200,560
PamelaCartes11,240
MartinFaundezL,210
acvul,140
johannadlg1,170
lesliemoyasali1,170
standwithHKb612,190
AcimaGrupo,170
chonx_neon2,260
maeuge_ossandon,150
AngeloAraneda_I,210
andreacabrerad,170
NicolconchaG,180
Cafeconcepcion,230
Alejandro98746,180
Dorigo_mackiver,270
pabmantw2,180
japilobo,160
CaosMariposa,270
catsv1,190
federicocullell,190
JheismarvivasR,140
GiulianaCosta93,140
ERICKGATICAMART,250
com_llambias,140
solileosolilei,180
AleCosas,210
ActualidadSobre,250
felipo_94,170
Darkzaroth,190
traduceconmigo,150
vherrera97,160
Matias4613,170
karukuri,180
cucalobos,170
NataliR28360856,240
aceb30,210
macarenauribem,160
garciaguirre7,160
BorisMaluenda,250
malditanikol,180
PauAviles89,210
96trah,210
jlperelli,210
ChristRob9,210
nigah_cifuentes,210
Osvaldo52072739,260
TecnoChecho,190
AnaFarm77191708,210
insomnskz,180
Ale39400326,240
JoseBisharaYuja,210
MauroCastroSKM,230
artuacuna,190
silvavega71,200
BeyFacundo,270
OAG_UNAL,200
GeneralKenobi_i,210
EscortPlatinumC,240
SusanMHH89,190
paola27463927,140
Nata_Ovalle,190
BarbaraLimonada,270
Valeria22561581,200
martinriveraiu,160
ivonneurzuamya1,200
alexxiss_JDM,230
julioprecom,110
karinmora,200
ensamblevocalvm,190
suariolo,270
GJorajay,170
RuthPar16833230,180
AlejandroArino,220
AedoBusto,190
aledu15,200
fepbiobio2018,240
BrainSupport4,210
inorganicaccp,210
cokesanmartin2,190
amc1984,220
domymeyer,240
JuankaCar,190
Daniela55046410,230
F_Benja1,210
Diego_Rios_A,220
WipChile,200
MarioFerrera17,220
Sebasti28765396,140
Catalina_bcr,230
LuisMarSac,180
Benjami05534148,240
Roberto77498408,270
ThomasRotter6,180
natalialeonorq,220
ardb92,170
migueltapiac,140
antoniaa_tt,210
Leontrigo,250
aliardi89,160
NoeGmez73668662,210
BazanCarlosltq,170
LucyPea13953017,280
Pilar09585740,210
Sterluis,190
aroobaahmed_,210
AlexitaEnf,200
Chavymar,210
Victoriaandrads,180
Maxxx_arq,220
janiortiz_a,230
Ile70,170
serpentina_,130
valenfu,190
Nelly_RoblesV,210
mop_nuble,190
JavierolmosP,200
GWallffiguer,180
NetworkPex,210
anaaatoledoo,190
Belolo22,150
GonzaloSM14,270
ximenacantante,220
Errrcckk,180
tutita23_5,160
ainfantek,180
Gabriel95901764,300
makitss,190
jaimeurra4,210
MariaEl64920270,290
DiEGo93839651,210
JuanSeverin,220
BeaRodriguezF,240
jotavelasco,190
GnesisEscobar20,180
maritaopc,170
Muyahid1,210
rhurtadop96,210
RoTo__ChiLeNo,200
ArplanColombia,200
edimancilla,200
dalro22,240
MaestroOjo,190
koke_barrett,140
SylarH2,220
kraneamos,220
BobBarcena,220
ChaunceyGardin8,250
LeeBaezaArias1,220
amagr,220
Ckimita,250
paperboard_2020,140
PERFIL1966,230
Francisca_Rosas,330
MaribelViera4,160
Catalinalvare18,280
Antonel11594962,240
bassjoaco,160
VanessitaCSS,230
crystyanna7,250
tamara04881455,220
meftmeth,230
Juanvalps,180
Kruczynski_TXF,250
RDiguillin,210
diego_sepul,260
ElTiempoSerena,250
abarzua_valeria,220
JuanCar69109093,290
saimoncastillo,200
c_sepc,200
Rattlehead88,210
Blahsmb,230
IgnacioGuerraEr,220
RoxanaRoxi48,250
roanraval,150
_Gabriel_SL_,210
emeriquelme,220
Ileandrovf,190
edumellaseguel,190
InvestigaUDD,160
DondeLucas29,260
MartaMiret_,220
AyvdaBancoChiIe,150
vidalsnico,180
ChristEscolar,250
Amaiitamia,250
talita95573916,200
freddy_schmidt,260
ReportTed,200
franjswiftie,280
Ivaaaaaaaan1,150
DatosCientific,230
Hamilton__marg,230
dencifpar,190
AlexisBelfast,190
Guiller14070426,270
JuanPon22701939,180
perrorraro,180
CinPaz_,180
carlosvelasqm,140
cristiant_rs15,220
EvandroFM1,160
RominaCGamboaM1,220
AmuchChile,210
damarislapascua,240
Michell85614829,250
Lucho_x3_,210
_Tamita_,230
alvaroVIII,210
JoseFogaca1,230
jedicruces,170
EmilioEduardoM7,250
gritodeguerra12,210
XimenaEldredge,260
biobuses,190
Culturahoy3,220
mircscrc,180
xampilar,220
IconicCool,190
Benjamn30843524,250
etnodecadencia_,230
Andreyesb,220
dardalina,210
paramedic_here,200
MavilezP,220
lilianjosefaa,170
jacc580,190
pipin_alf,210
Alere5,200
Joacoescarcha,180
jmcatepillan,190
