key,time[ns]
murci,200
murce,210
murcl,220
murca,180
murcg,200
murco,190
murcs,210
murie,210
muril,210
muria,210
murig,220
murio,220
muris,200
murel,200
murea,190
mureg,190
mureo,220
mures,240
murla,200
murlg,220
murlo,200
murls,200
murag,210
murao,210
muras,200
murgo,220
murgs,210
muros,200
mucie,210
mucil,160
mucia,210
mucig,190
mucio,180
mucis,190
mucel,200
mucea,210
muceg,200
muceo,180
muces,200
mucla,200
muclg,200
muclo,200
mucls,180
mucag,190
mucao,190
mucas,160
mucgo,230
mucgs,210
mucos,210
muiel,260
muiea,120
muieg,90
muieo,250
muies,230
muila,220
muilg,200
muilo,210
muils,140
muiag,270
muiao,220
muias,240
muigo,170
muigs,250
muios,130
muela,250
muelg,220
muelo,180
muels,210
mueag,240
mueao,250
mueas,230
muego,170
muegs,250
mueos,230
mulag,240
mulao,240
mulas,210
mulgo,200
mulgs,220
mulos,220
muago,220
muags,210
muaos,190
mugos,230
mrcie,200
mrcil,180
mrcia,190
mrcig,190
mrcio,200
mrcis,200
mrcel,190
mrcea,200
mrceg,200
mrceo,180
mrces,190
mrcla,190
mrclg,180
mrclo,190
mrcls,200
mrcag,210
mrcao,210
mrcas,220
mrcgo,220
mrcgs,220
mrcos,200
mriel,210
mriea,140
mrieg,220
mrieo,230
mries,200
mrila,220
mrilg,170
mrilo,220
mrils,230
mriag,160
mriao,150
mrias,230
mrigo,160
mrigs,200
mrios,170
mrela,230
mrelg,180
mrelo,200
mrels,150
mreag,160
mreao,180
mreas,220
mrego,190
mregs,190
mreos,210
mrlag,210
mrlao,200
mrlas,180
mrlgo,190
mrlgs,200
mrlos,190
mrago,160
mrags,170
mraos,170
mrgos,190
mciel,200
mciea,180
mcieg,170
mcieo,160
mcies,160
mcila,190
mcilg,190
mcilo,190
mcils,190
mciag,180
mciao,180
mcias,170
mcigo,180
mcigs,170
mcios,190
mcela,210
mcelg,190
mcelo,180
mcels,190
mceag,210
mceao,180
mceas,170
mcego,190
mcegs,200
mceos,200
mclag,180
mclao,180
mclas,150
mclgo,170
mclgs,180
mclos,180
mcago,210
mcags,230
mcaos,210
mcgos,160
miela,230
mielg,200
mielo,200
miels,220
mieag,200
mieao,190
mieas,220
miego,200
miegs,200
mieos,180
milag,200
milao,160
milas,180
milgo,200
milgs,180
milos,220
miago,250
miags,170
miaos,220
migos,190
melag,170
melao,190
melas,190
melgo,180
melgs,170
melos,240
meago,170
meags,180
meaos,180
megos,170
mlago,200
mlags,180
mlaos,180
mlgos,250
magos,210
urcie,200
urcil,150
urcia,170
urcig,200
urcio,190
urcis,200
urcel,180
urcea,210
urceg,180
urceo,190
urces,190
urcla,190
urclg,170
urclo,180
urcls,680
urcag,190
urcao,200
urcas,200
urcgo,180
urcgs,190
urcos,190
uriel,190
uriea,190
urieg,170
urieo,200
uries,180
urila,200
urilg,170
urilo,200
urils,180
uriag,190
uriao,190
urias,200
urigo,190
urigs,210
urios,180
urela,190
urelg,200
urelo,190
urels,200
ureag,200
ureao,200
ureas,170
urego,190
uregs,190
ureos,200
urlag,180
urlao,190
urlas,240
urlgo,190
urlgs,220
urlos,190
urago,170
urags,190
uraos,190
urgos,200
uciel,190
uciea,180
ucieg,180
ucieo,200
ucies,180
ucila,180
ucilg,190
ucilo,200
ucils,180
uciag,180
uciao,180
ucias,190
ucigo,190
ucigs,190
ucios,170
ucela,200
ucelg,190
ucelo,210
ucels,170
uceag,170
uceao,190
uceas,170
ucego,190
ucegs,180
uceos,170
uclag,190
uclao,180
uclas,180
uclgo,180
uclgs,180
uclos,180
ucago,220
ucags,190
ucaos,80
