key,time[ns]
175602569,20
226954691,70
719375436090851328,50
1220452458289422344,30
1251794905594200065,50
1306377488344461312,40
1318407040599982081,70
1124623431377543169,50
2832879748,30
120794576,20
1187514860654989313,110
823493216,50
814860153715617792,30
1054842773852033026,30
193526905,50
2999734385,50
150417325,20
174434434,50
95056074,50
1311732286501588995,40
4158663616,80
763494751647784960,50
348779009,70
951783646763147265,70
1255987024282214400,100
979364812823187456,20
1264908215655051265,40
87555841,50
67219131,20
3014459913,20
1374091915440885761,40
1043910345176145920,20
230570097,50
1292538483114991617,70
974454589482299392,50
221351745,60
3350344391,40
55679694,60
740295109846138880,50
1175460944085954560,30
3053992987,30
500242613,40
1383152431928856577,30
1239208835597963264,50
396154546,80
985206526871777280,210
1042006119189819392,300
1188262943441543169,50
823672879640244224,30
2866753402,40
3138966863,100
929165837864488961,90
1016744722004627456,90
918841282197426176,50
877379555044069380,50
954039927255289856,50
270965193,50
1084506927927836672,60
1347348512963502082,30
464146913,40
1163565015036833794,50
895441764735225860,50
1367139650519904260,30
1234575299586789377,60
760851278,120
1213139508687855616,30
900520997182459907,30
240758477,50
122050953,40
872243586,50
1083150315346673665,50
67723121,50
1370984029,40
1351532015401766913,50
63285695,10
607606955,60
403061780,20
884923473205788677,50
1235968279627341824,40
348619040,50
765292310410194944,70
1378060307298455566,60
1034272294976348162,50
1348225250,40
3314899643,40
1102564461125271552,60
80720809,30
1248648536205467654,60
954017130999173120,110
1372977214921322498,40
50627465,40
1376006279538343945,40
1358098056705699840,40
1188812601167364097,30
1021030277299294208,270
143317866,70
1387608753273516035,80
145429538,80
335072055,480
1336884986717364225,60
171534061,50
1377756983340716035,30
1347246275847200770,100
1245461698489782272,30
1139050558529179649,170
1048762266022240256,30
64947352,60
2972146773,20
51646107,30
3120222796,40
1377787931499360256,70
1003485507182120961,30
1024339320717672449,80
1067213041257852929,60
1223039122379628544,40
1154886863758475266,50
1246940660936118272,110
1186835247939358720,40
3076073224,30
798608916015939584,30
1117244378995658752,40
1267525934074269696,60
1185738394686705664,200
2798726385,40
1183858136727392258,40
1002569353525637121,50
1249208545796599809,40
44249681,60
1226305470715002880,50
922345554,90
261882491,40
1185924625789796352,50
1975406424,40
4701657912,80
264288561,50
2947507695,20
626327066,40
722224838144880641,0
4860327240,40
264312652,30
566848270,60
1309677993644756994,30
59378799,50
1321529281869209603,50
929314871728136192,50
1186335319890812928,30
1336760005572370433,110
122525387,40
171199702,50
1385063734666797059,50
1332046787327234050,20
1192537146646781957,50
746584899394506752,40
1188293857055793152,40
1239240478945685507,80
1368272931390959618,50
177670033,40
20792701,60
1284299698321477634,50
1556173386,20
1340300574810656779,60
1375939806123921414,50
912823155927977985,60
1174732881412939777,40
180165576,50
627937872,20
38494309,20
170888380,50
123087096,40
1232837918210904064,30
1300286106529927168,40
1382517729337483266,30
60414021,30
1062851081435258880,90
308804337,70
280687108,50
18732153,40
1317591744050024450,50
1267999953365995521,70
897218206527623168,60
3418596876,20
1050381402414440449,140
1206721764,30
2557793919,70
225561373,40
1229852702802358273,60
171206740,50
220579196,50
2795898796,50
3400729383,10
1185400608506945539,50
1055979981120172032,10
1387040773888118796,10
364892600,50
1185536882152738816,70
720641396856791040,40
1247902017969770496,60
1352644639149453320,50
1362076628596240384,50
1195452848848457731,50
1221760253664137217,20
3437916970,30
755788639322382336,40
1248739575943417856,0
292627886,20
285463199,40
1344671634960093184,60
1267603722575720448,70
155605760,60
1314312092476940288,110
1548303164,20
3029223471,60
760589762134732801,40
1188947336090804224,50
95514345,20
357644151,30
826515137443950592,30
2897540433,190
364334686,60
3244730037,60
1185382318862733312,20
1182899802583031808,140
203310573,40
1285627532516241409,20
776474196,40
90562163,50
146933716,50
2427319015,40
2877042770,40
322840783,40
1234290695667621888,40
3135446200,40
257801224,40
1194330105067311104,50
415755639,50
1220361338,60
1284203409328017408,60
1304424621257752582,20
851898500149374977,60
710238914808848384,300
1031711342389092352,120
308230831,50
1294122703880884230,50
1250809078059634692,40
70243042,20
1275926066620661760,10
908426136434171904,70
1415753479,20
459288663,40
3134663452,40
2788808538,40
1194438926448103426,60
193122138,50
4865219955,50
913464033768026118,30
576217240,50
3228765815,50
1064261425,40
1290034269507788801,30
2181032763,40
1149792781415485441,10
1369705447398268932,40
1114643890437533702,50
151960926,50
55464793,30
309232918,50
1334583315085598720,30
1351393499179053057,40
99584985,30
848573605,40
918617769255624705,100
227002738,40
331982217,60
313658608,30
465184873,50
212053016,50
222991487,20
81481941,50
1173106427369574401,30
1325762377170767872,40
754486315488509953,90
563290401,210
1357200683666190338,60
73222278,40
2393065592,30
242878891,30
1330864234981449730,60
185842654,30
1235276599790104577,30
877575153462296576,50
714857661326630913,70
1239698832025321473,10
1192093424553463808,50
3740816487,40
827717306088353794,30
2446037264,30
1268026392085659648,40
141273935,40
1264949724840255488,40
1395736155094720518,40
