key,time[ns]
4910142,250
7854131,500
5895826,100
381216,80
1028992,160
8233048,70
7474511,30
9291902,130
5544010,170
7501119,30
3654428,70
1620272,150
1994537,40
3417596,20
1754917,120
1672744,20
6880146,400
3311695,140
9732356,40
2125270,70
9234282,20
5402031,40
7093005,20
5069611,240
4859134,40
2194204,100
6208052,90
7963415,350
8569886,20
5574132,240
993048,140
9653856,160
261883,40
4643446,50
2099579,60
7676324,50
3512648,40
194160,140
1122277,70
2588547,220
7749424,250
3657705,70
9980451,40
5967996,30
2386700,20
4209423,60
140509,70
5925789,60
5666685,370
5227055,140
1453296,120
4599581,170
904266,340
9025140,40
5480354,140
8093519,80
1690378,30
7377148,60
3543860,30
8123206,290
3295478,70
3284963,30
3524654,160
6207476,70
6025013,250
3296468,70
5734102,40
4514273,280
57424,110
2027839,80
9127469,140
2811687,510
5704417,80
6276683,70
416884,270
5651151,250
7012417,90
5568302,480
5624399,110
3119556,50
830730,20
9977919,210
8752230,80
1876084,70
1358721,180
9777162,200
9252291,80
5078061,40
1423709,40
7766694,70
8858733,110
9743801,70
4146660,60
2593832,100
8020401,380
4526175,30
8083010,180
3888577,200
4418237,30
1196966,50
2716149,220
9145553,110
7372324,30
4147112,210
5769087,90
7600905,20
5107104,90
1896377,40
9870769,430
4340900,300
6864217,80
3537738,30
864880,50
102749,470
1467162,50
7930028,130
5780221,110
300658,100
2227137,230
752841,50
3559263,100
9542227,70
1554864,230
9282801,100
4720576,200
9884632,60
5773978,50
7696908,90
2230199,360
3167491,170
426287,60
1963568,250
9047703,80
1244770,180
2071671,90
8215258,60
67342,70
5058028,30
2526146,210
4658799,240
8701759,50
9740260,50
8659114,20
5867676,20
9031930,50
6727288,30
3768047,210
6347788,80
1708261,30
5743740,30
514279,230
6112424,40
2786236,30
6682370,40
7746402,20
7233511,310
8839802,370
1161559,140
7302427,60
9875340,60
1363971,410
6360500,30
7863300,340
1737272,80
4658742,650
400926,60
3633416,400
5018245,60
1800952,540
3366484,50
6213455,140
3890352,370
1575226,140
6629779,60
330893,130
6827974,50
6244670,140
7121878,450
1772744,130
7507789,70
1373606,70
7666420,360
8891719,320
747922,60
6762888,540
7439666,80
9514500,40
4333834,560
7528504,120
7327802,60
7075171,890
5897089,60
2167175,150
7487024,90
5970483,60
8297088,100
8405176,60
1785950,80
9759852,80
2141365,50
2535584,110
6074948,380
1705114,50
6002499,110
7024967,370
474605,80
2201785,60
9742932,60
2712316,70
798719,100
1795894,50
1649551,40
8898224,270
6803622,370
4972801,50
1956116,1050
1779017,50
4863414,840
5824440,100
5138510,350
6737395,60
7421705,40
2090678,70
830919,40
9354053,50
4779255,40
4735108,30
98099,40
5429924,20
8572306,80
1021688,40
6523111,170
8702578,120
7955682,40
2774930,420
4447274,230
6822875,280
4513076,300
6696659,220
8940983,50
6808098,280
4572447,100
4105659,30
5865914,50
9934776,30
7680601,40
1353456,220
7793401,380
4494300,230
9389874,90
3413595,50
6712362,0
3238695,10
8812126,110
7039774,40
6305276,50
3687871,690
2920249,340
1441215,30
7451321,220
4929289,60
8679009,370
1177766,440
4478431,40
6822189,30
8761189,50
2223080,90
8469183,20
7585081,140
7327123,200
5316976,460
7169198,60
7802117,320
7229861,30
3799712,300
9813171,240
3134996,40
3254051,50
5921976,200
1588258,310
6717606,140
6440370,30
260276,30
8766277,220
9097058,140
9351064,60
6812675,300
6268335,90
5187080,50
720420,80
3968348,20
6388913,70
9741726,240
4138391,40
2436759,10
3996032,220
4935413,50
5853291,10
3661707,100
736041,50
