key,time[ns]
Darm2k1,1020
jsarabiv,1050
JMolinaPelayo,730
profesortbaker,1580
sofria_gs,560
edoplaza1,1140
Easybeauty1810,1090
pguajardo_,1330
ConsejoSalmon,1240
HectorBarrenec4,1280
CLAUDIOCUEVAS1,1730
ngelavilaCid1,1290
rod_rojasleon,1130
gabriel_reboll,1150
mbasualtol,880
Sx0ri,750
AnaHuenten,1000
ciencia_unab,730
miguelurreab,1060
SantiClaudio9,1430
Josu39825990,960
paula_pavez,610
zagrarioo,140
cyber_party,770
PizarrroSofia,460
daaany_f,1060
LicClaudia4,860
Mximo51872020,1140
Patrici51580852,2780
ConsorcioFruta,1040
Daniela27179210,1570
SergioOchoaM,420
felicinda04,560
VoltsChrist,730
marceladiaz_g,810
4nntonia,1050
Namila06,780
piprujap,850
noemiapv,1750
Dilam54647935,540
natiperiodista,940
chicowhoball,910
jenypey,710
MaiaMontana_,1090
flovillagranx,1000
yeri_ae,1000
marcoaravena,500
mapa4824,880
sinvirunvica,440
nandzan,610
macuna70,1320
ClaudiaPangui1,900
Consuelmm,1730
RocioGo28410023,950
leonelfierro,1210
ConitaPardo,1570
PncSmptrn,170
HumelabApp,580
ery_erazo,460
MaryMartinezAba,830
republicando_cl,1310
Maurici00352106,2640
jrgvalencia,2940
alend01399300,1080
sergio_uribe_m,1260
Luis_QuiVal,560
pnsv190891,870
jotamesi,700
Ricardo54961200,1320
PamelaCartes11,850
MartinFaundezL,770
acvul,850
johannadlg1,2410
lesliemoyasali1,1010
standwithHKb612,660
AcimaGrupo,820
chonx_neon2,1670
maeuge_ossandon,1050
AngeloAraneda_I,890
andreacabrerad,1040
NicolconchaG,470
Cafeconcepcion,1300
Alejandro98746,1840
Dorigo_mackiver,1050
pabmantw2,900
japilobo,910
CaosMariposa,1020
catsv1,750
federicocullell,980
JheismarvivasR,830
GiulianaCosta93,510
ERICKGATICAMART,1910
com_llambias,140
solileosolilei,660
AleCosas,900
ActualidadSobre,1030
felipo_94,510
Darkzaroth,1170
traduceconmigo,1660
vherrera97,930
Matias4613,730
karukuri,940
cucalobos,590
NataliR28360856,1490
aceb30,700
macarenauribem,930
garciaguirre7,870
BorisMaluenda,1070
malditanikol,1670
PauAviles89,850
96trah,790
jlperelli,2120
ChristRob9,890
nigah_cifuentes,910
Osvaldo52072739,2930
TecnoChecho,840
AnaFarm77191708,1160
insomnskz,790
Ale39400326,140
JoseBisharaYuja,730
MauroCastroSKM,1040
artuacuna,1010
silvavega71,870
BeyFacundo,930
OAG_UNAL,600
GeneralKenobi_i,830
EscortPlatinumC,1360
SusanMHH89,1340
paola27463927,660
Nata_Ovalle,1550
BarbaraLimonada,1200
Valeria22561581,580
martinriveraiu,540
ivonneurzuamya1,1030
alexxiss_JDM,1220
julioprecom,690
karinmora,1040
ensamblevocalvm,680
suariolo,1020
GJorajay,740
RuthPar16833230,1010
AlejandroArino,820
AedoBusto,930
aledu15,870
fepbiobio2018,2700
BrainSupport4,150
inorganicaccp,740
cokesanmartin2,530
amc1984,650
domymeyer,1080
JuankaCar,700
Daniela55046410,1110
F_Benja1,870
Diego_Rios_A,1960
WipChile,680
MarioFerrera17,870
Sebasti28765396,490
Catalina_bcr,560
LuisMarSac,800
Benjami05534148,820
Roberto77498408,690
ThomasRotter6,540
natalialeonorq,480
ardb92,600
migueltapiac,560
antoniaa_tt,2230
Leontrigo,1060
aliardi89,470
NoeGmez73668662,540
BazanCarlosltq,580
LucyPea13953017,1660
Pilar09585740,430
Sterluis,1050
aroobaahmed_,870
AlexitaEnf,860
Chavymar,690
Victoriaandrads,1100
Maxxx_arq,1020
janiortiz_a,1010
Ile70,90
serpentina_,440
valenfu,760
Nelly_RoblesV,1170
mop_nuble,840
JavierolmosP,780
GWallffiguer,590
NetworkPex,880
anaaatoledoo,880
Belolo22,570
GonzaloSM14,670
ximenacantante,930
Errrcckk,490
tutita23_5,850
ainfantek,920
Gabriel95901764,2980
makitss,940
jaimeurra4,760
MariaEl64920270,1250
DiEGo93839651,690
JuanSeverin,440
BeaRodriguezF,960
jotavelasco,1240
GnesisEscobar20,760
maritaopc,880
Muyahid1,770
rhurtadop96,1910
RoTo__ChiLeNo,490
ArplanColombia,920
edimancilla,810
dalro22,510
MaestroOjo,490
koke_barrett,810
SylarH2,630
kraneamos,2540
BobBarcena,890
ChaunceyGardin8,880
LeeBaezaArias1,790
amagr,660
Ckimita,930
paperboard_2020,160
PERFIL1966,840
Francisca_Rosas,700
MaribelViera4,1020
Catalinalvare18,1050
Antonel11594962,1080
bassjoaco,630
VanessitaCSS,1000
crystyanna7,1860
tamara04881455,530
meftmeth,2540
Juanvalps,950
Kruczynski_TXF,1030
RDiguillin,640
diego_sepul,980
ElTiempoSerena,1270
abarzua_valeria,960
JuanCar69109093,1000
saimoncastillo,920
c_sepc,580
Rattlehead88,1310
Blahsmb,790
IgnacioGuerraEr,900
RoxanaRoxi48,2150
roanraval,810
_Gabriel_SL_,1250
emeriquelme,850
Ileandrovf,1080
edumellaseguel,1040
InvestigaUDD,800
DondeLucas29,650
MartaMiret_,720
AyvdaBancoChiIe,1170
vidalsnico,1630
ChristEscolar,1120
Amaiitamia,740
talita95573916,660
freddy_schmidt,920
ReportTed,810
franjswiftie,970
Ivaaaaaaaan1,1480
DatosCientific,1050
Hamilton__marg,730
dencifpar,930
AlexisBelfast,860
Guiller14070426,400
JuanPon22701939,690
perrorraro,520
CinPaz_,730
carlosvelasqm,500
cristiant_rs15,390
EvandroFM1,560
RominaCGamboaM1,1090
AmuchChile,780
damarislapascua,1030
Michell85614829,2050
Lucho_x3_,800
_Tamita_,680
alvaroVIII,740
JoseFogaca1,1050
jedicruces,730
EmilioEduardoM7,1340
gritodeguerra12,650
XimenaEldredge,170
biobuses,780
Culturahoy3,850
mircscrc,750
xampilar,760
IconicCool,580
Benjamn30843524,630
etnodecadencia_,970
Andreyesb,590
dardalina,870
paramedic_here,1010
MavilezP,720
lilianjosefaa,880
jacc580,630
pipin_alf,830
Alere5,660
Joacoescarcha,840
jmcatepillan,170
