key,time[ns]
murci,800
murce,780
murcl,820
murca,890
murcg,880
murco,870
murcs,770
murie,880
muril,770
muria,840
murig,770
murio,820
muris,770
murel,750
murea,830
mureg,720
mureo,750
mures,830
murla,770
murlg,770
murlo,770
murls,830
murag,710
murao,740
muras,780
murgo,760
murgs,680
muros,750
mucie,750
mucil,810
mucia,710
mucig,880
mucio,810
mucis,770
mucel,780
mucea,850
muceg,760
muceo,800
muces,830
mucla,910
muclg,810
muclo,740
mucls,710
mucag,740
mucao,780
mucas,800
mucgo,960
mucgs,820
mucos,780
muiel,730
muiea,760
muieg,760
muieo,820
muies,770
muila,840
muilg,810
muilo,790
muils,770
muiag,730
muiao,1000
muias,790
muigo,810
muigs,820
muios,750
muela,890
muelg,2250
muelo,880
muels,780
mueag,740
mueao,770
mueas,970
muego,830
muegs,800
mueos,760
mulag,800
mulao,810
mulas,840
mulgo,740
mulgs,730
mulos,720
muago,770
muags,790
muaos,740
mugos,770
mrcie,850
mrcil,760
mrcia,910
mrcig,920
mrcio,790
mrcis,810
mrcel,730
mrcea,740
mrceg,700
mrceo,730
mrces,730
mrcla,670
mrclg,740
mrclo,690
mrcls,720
mrcag,650
mrcao,870
mrcas,710
mrcgo,740
mrcgs,660
mrcos,680
mriel,730
mriea,640
mrieg,770
mrieo,660
mries,650
mrila,760
mrilg,880
mrilo,680
mrils,730
mriag,770
mriao,750
mrias,630
mrigo,740
mrigs,800
mrios,670
mrela,710
mrelg,710
mrelo,720
mrels,720
mreag,830
mreao,760
mreas,730
mrego,740
mregs,750
mreos,710
mrlag,670
mrlao,870
mrlas,740
mrlgo,760
mrlgs,680
mrlos,720
mrago,660
mrags,740
mraos,800
mrgos,690
mciel,650
mciea,730
mcieg,680
mcieo,660
mcies,720
mcila,740
mcilg,830
mcilo,760
mcils,750
mciag,710
mciao,810
mcias,660
mcigo,670
mcigs,700
mcios,840
mcela,800
mcelg,710
mcelo,780
mcels,740
mceag,790
mceao,680
mceas,770
mcego,770
mcegs,680
mceos,690
mclag,660
mclao,820
mclas,770
mclgo,870
mclgs,690
mclos,730
mcago,700
mcags,720
mcaos,670
mcgos,750
miela,710
mielg,630
mielo,690
miels,760
mieag,660
mieao,760
mieas,700
miego,730
miegs,800
mieos,800
milag,650
milao,830
milas,690
milgo,740
milgs,640
milos,700
miago,670
miags,710
miaos,720
migos,700
melag,710
melao,610
melas,790
melgo,750
melgs,700
melos,660
meago,860
meags,750
meaos,680
megos,830
mlago,870
mlags,700
mlaos,600
mlgos,780
magos,690
urcie,680
urcil,680
urcia,690
urcig,700
urcio,700
urcis,690
urcel,830
urcea,730
urceg,670
urceo,710
urces,720
urcla,630
urclg,680
urclo,680
urcls,660
urcag,790
urcao,700
urcas,700
urcgo,620
urcgs,660
urcos,700
uriel,640
uriea,660
urieg,590
urieo,650
uries,650
urila,680
urilg,660
urilo,670
urils,640
uriag,690
uriao,600
urias,630
urigo,630
urigs,650
urios,700
urela,670
urelg,660
urelo,640
urels,650
ureag,690
ureao,600
ureas,600
urego,740
uregs,650
ureos,600
urlag,810
urlao,640
urlas,650
urlgo,640
urlgs,590
urlos,720
urago,690
urags,770
uraos,620
urgos,640
uciel,800
uciea,690
ucieg,630
ucieo,700
ucies,710
ucila,600
ucilg,710
ucilo,610
ucils,620
uciag,730
uciao,680
ucias,710
ucigo,660
ucigs,800
ucios,650
ucela,610
ucelg,720
ucelo,690
ucels,600
uceag,610
uceao,630
uceas,660
ucego,630
ucegs,640
uceos,670
uclag,770
uclao,720
uclas,710
uclgo,670
uclgs,700
uclos,660
ucago,630
ucags,630
ucaos,830
