key,time[ns]
175602569,30
226954691,50
719375436090851328,30
1220452458289422344,30
1251794905594200065,20
1306377488344461312,10
1318407040599982081,10
1124623431377543169,40
2832879748,20
120794576,20
1187514860654989313,0
823493216,20
814860153715617792,30
1054842773852033026,30
193526905,10
2999734385,30
150417325,40
174434434,30
95056074,20
1311732286501588995,10
4158663616,20
763494751647784960,30
348779009,50
951783646763147265,10
1255987024282214400,20
979364812823187456,20
1264908215655051265,10
87555841,20
67219131,40
3014459913,20
1374091915440885761,30
1043910345176145920,20
230570097,30
1292538483114991617,20
974454589482299392,30
221351745,20
3350344391,20
55679694,20
740295109846138880,20
1175460944085954560,10
3053992987,20
500242613,10
1383152431928856577,20
1239208835597963264,10
396154546,20
985206526871777280,50
1042006119189819392,10
1188262943441543169,30
823672879640244224,30
2866753402,30
3138966863,30
929165837864488961,40
1016744722004627456,30
918841282197426176,10
877379555044069380,30
954039927255289856,10
270965193,10
1084506927927836672,20
1347348512963502082,10
464146913,30
1163565015036833794,10
895441764735225860,30
1367139650519904260,10
1234575299586789377,20
760851278,30
1213139508687855616,20
900520997182459907,30
240758477,10
122050953,40
872243586,30
1083150315346673665,40
67723121,40
1370984029,20
1351532015401766913,30
63285695,40
607606955,20
403061780,30
884923473205788677,30
1235968279627341824,20
348619040,30
765292310410194944,40
1378060307298455566,10
1034272294976348162,20
1348225250,20
3314899643,50
1102564461125271552,20
80720809,10
1248648536205467654,20
954017130999173120,10
1372977214921322498,20
50627465,20
1376006279538343945,80
1358098056705699840,260
1188812601167364097,10
1021030277299294208,20
143317866,30
1387608753273516035,10
145429538,40
335072055,20
1336884986717364225,20
171534061,20
1377756983340716035,10
1347246275847200770,20
1245461698489782272,60
1139050558529179649,20
1048762266022240256,10
64947352,10
2972146773,10
51646107,20
3120222796,20
1377787931499360256,30
1003485507182120961,40
1024339320717672449,30
1067213041257852929,10
1223039122379628544,20
1154886863758475266,30
1246940660936118272,40
1186835247939358720,30
3076073224,10
798608916015939584,30
1117244378995658752,30
1267525934074269696,10
1185738394686705664,30
2798726385,30
1183858136727392258,80
1002569353525637121,10
1249208545796599809,20
44249681,20
1226305470715002880,0
922345554,30
261882491,30
1185924625789796352,10
1975406424,30
4701657912,10
264288561,10
2947507695,20
626327066,20
722224838144880641,20
4860327240,40
264312652,20
566848270,20
1309677993644756994,20
59378799,40
1321529281869209603,30
929314871728136192,10
1186335319890812928,30
1336760005572370433,40
122525387,20
171199702,40
1385063734666797059,10
1332046787327234050,30
1192537146646781957,30
746584899394506752,20
1188293857055793152,30
1239240478945685507,30
1368272931390959618,30
177670033,20
20792701,20
1284299698321477634,10
1556173386,20
1340300574810656779,40
1375939806123921414,10
912823155927977985,40
1174732881412939777,40
180165576,10
627937872,40
38494309,20
170888380,60
123087096,20
1232837918210904064,30
1300286106529927168,20
1382517729337483266,30
60414021,30
1062851081435258880,30
308804337,30
280687108,10
18732153,10
1317591744050024450,20
1267999953365995521,10
897218206527623168,40
3418596876,30
1050381402414440449,20
1206721764,20
2557793919,10
225561373,40
1229852702802358273,20
171206740,40
220579196,10
2795898796,30
3400729383,20
1185400608506945539,40
1055979981120172032,40
1387040773888118796,30
364892600,30
1185536882152738816,40
720641396856791040,20
1247902017969770496,30
1352644639149453320,20
1362076628596240384,20
1195452848848457731,10
1221760253664137217,10
3437916970,20
755788639322382336,30
1248739575943417856,20
292627886,20
285463199,30
1344671634960093184,30
1267603722575720448,120
155605760,50
1314312092476940288,30
1548303164,40
3029223471,40
760589762134732801,40
1188947336090804224,170
95514345,40
357644151,20
826515137443950592,20
2897540433,40
364334686,20
3244730037,10
1185382318862733312,20
1182899802583031808,30
203310573,20
1285627532516241409,30
776474196,30
90562163,20
146933716,10
2427319015,20
2877042770,10
322840783,30
1234290695667621888,10
3135446200,20
257801224,10
1194330105067311104,30
415755639,30
1220361338,20
1284203409328017408,0
1304424621257752582,20
851898500149374977,30
710238914808848384,20
1031711342389092352,20
308230831,20
1294122703880884230,20
1250809078059634692,30
70243042,10
1275926066620661760,40
908426136434171904,50
1415753479,20
459288663,30
3134663452,20
2788808538,30
1194438926448103426,30
193122138,30
4865219955,40
913464033768026118,10
576217240,30
3228765815,30
1064261425,30
1290034269507788801,20
2181032763,20
1149792781415485441,30
1369705447398268932,0
1114643890437533702,10
151960926,20
55464793,30
309232918,30
1334583315085598720,10
1351393499179053057,30
99584985,20
848573605,30
918617769255624705,30
227002738,10
331982217,10
313658608,30
465184873,40
212053016,20
222991487,20
81481941,10
1173106427369574401,20
1325762377170767872,20
754486315488509953,40
563290401,30
1357200683666190338,20
73222278,10
2393065592,10
242878891,10
1330864234981449730,40
185842654,30
1235276599790104577,30
877575153462296576,20
714857661326630913,20
1239698832025321473,20
1192093424553463808,20
3740816487,30
827717306088353794,20
2446037264,30
1268026392085659648,10
141273935,30
1264949724840255488,0
1395736155094720518,30
