key,time[ns]
4910142,50
7854131,40
5895826,60
381216,40
1028992,60
8233048,50
7474511,30
9291902,10
5544010,10
7501119,40
3654428,0
1620272,50
1994537,30
3417596,40
1754917,60
1672744,40
6880146,40
3311695,50
9732356,60
2125270,40
9234282,60
5402031,10
7093005,30
5069611,60
4859134,30
2194204,20
6208052,50
7963415,60
8569886,40
5574132,50
993048,40
9653856,40
261883,20
4643446,50
2099579,30
7676324,60
3512648,50
194160,40
1122277,10
2588547,50
7749424,30
3657705,30
9980451,50
5967996,60
2386700,70
4209423,40
140509,50
5925789,50
5666685,70
5227055,40
1453296,50
4599581,80
904266,60
9025140,30
5480354,40
8093519,30
1690378,30
7377148,40
3543860,10
8123206,30
3295478,40
3284963,80
3524654,40
6207476,30
6025013,100
3296468,20
5734102,60
4514273,40
57424,40
2027839,50
9127469,40
2811687,70
5704417,20
6276683,60
416884,80
5651151,10
7012417,20
5568302,30
5624399,70
3119556,40
830730,30
9977919,20
8752230,30
1876084,60
1358721,150
9777162,40
9252291,30
5078061,20
1423709,30
7766694,30
8858733,60
9743801,40
4146660,20
2593832,10
8020401,110
4526175,40
8083010,0
3888577,0
4418237,60
1196966,90
2716149,40
9145553,40
7372324,50
4147112,30
5769087,20
7600905,60
5107104,50
1896377,40
9870769,40
4340900,50
6864217,40
3537738,50
864880,30
102749,30
1467162,40
7930028,40
5780221,20
300658,90
2227137,40
752841,30
3559263,40
9542227,30
1554864,50
9282801,30
4720576,40
9884632,50
5773978,30
7696908,40
2230199,40
3167491,50
426287,30
1963568,40
9047703,40
1244770,20
2071671,0
8215258,20
67342,40
5058028,50
2526146,60
4658799,60
8701759,60
9740260,20
8659114,50
5867676,90
9031930,40
6727288,40
3768047,50
6347788,40
1708261,50
5743740,60
514279,20
6112424,40
2786236,50
6682370,40
7746402,40
7233511,50
8839802,50
1161559,80
7302427,10
9875340,140
1363971,80
6360500,20
7863300,40
1737272,40
4658742,50
400926,40
3633416,30
5018245,50
1800952,40
3366484,50
6213455,40
3890352,70
1575226,70
6629779,50
330893,30
6827974,40
6244670,40
7121878,30
1772744,80
7507789,50
1373606,30
7666420,70
8891719,40
747922,40
6762888,30
7439666,50
9514500,40
4333834,50
7528504,70
7327802,60
7075171,70
5897089,50
2167175,20
7487024,30
5970483,60
8297088,40
8405176,20
1785950,40
9759852,50
2141365,40
2535584,50
6074948,40
1705114,40
6002499,70
7024967,50
474605,10
2201785,60
9742932,60
2712316,20
798719,20
1795894,40
1649551,50
8898224,50
6803622,40
4972801,20
1956116,40
1779017,60
4863414,70
5824440,50
5138510,30
6737395,60
7421705,50
2090678,50
830919,40
9354053,40
4779255,40
4735108,60
98099,40
5429924,50
8572306,20
1021688,50
6523111,50
8702578,30
7955682,20
2774930,50
4447274,50
6822875,60
4513076,30
6696659,60
8940983,30
6808098,30
4572447,30
4105659,60
5865914,60
9934776,20
7680601,50
1353456,30
7793401,40
4494300,50
9389874,30
3413595,40
6712362,60
3238695,60
8812126,50
7039774,40
6305276,40
3687871,60
2920249,80
1441215,50
7451321,50
4929289,40
8679009,30
1177766,40
4478431,30
6822189,40
8761189,50
2223080,30
8469183,40
7585081,40
7327123,40
5316976,40
7169198,50
7802117,50
7229861,50
3799712,70
9813171,30
3134996,10
3254051,50
5921976,40
1588258,30
6717606,40
6440370,0
260276,40
8766277,30
9097058,40
9351064,90
6812675,20
6268335,40
5187080,30
720420,30
3968348,30
6388913,40
9741726,40
4138391,40
2436759,40
3996032,50
4935413,20
5853291,40
3661707,20
736041,20
