key,time[ns]
175602569,80
226954691,290
719375436090851328,1150
1220452458289422344,1010
1251794905594200065,900
1306377488344461312,1020
1318407040599982081,840
1124623431377543169,1000
2832879748,300
120794576,160
1187514860654989313,860
823493216,230
814860153715617792,1000
1054842773852033026,1070
193526905,230
2999734385,420
150417325,150
174434434,240
95056074,120
1311732286501588995,830
4158663616,200
763494751647784960,1110
348779009,230
951783646763147265,990
1255987024282214400,960
979364812823187456,1220
1264908215655051265,1010
87555841,190
67219131,180
3014459913,320
1374091915440885761,930
1043910345176145920,970
230570097,160
1292538483114991617,910
974454589482299392,1100
221351745,160
3350344391,220
55679694,160
740295109846138880,930
1175460944085954560,930
3053992987,310
500242613,100
1383152431928856577,900
1239208835597963264,840
396154546,310
985206526871777280,1010
1042006119189819392,890
1188262943441543169,890
823672879640244224,970
2866753402,310
3138966863,330
929165837864488961,840
1016744722004627456,890
918841282197426176,960
877379555044069380,940
954039927255289856,960
270965193,200
1084506927927836672,830
1347348512963502082,990
464146913,180
1163565015036833794,910
895441764735225860,910
1367139650519904260,1080
1234575299586789377,810
760851278,260
1213139508687855616,880
900520997182459907,900
240758477,240
122050953,150
872243586,150
1083150315346673665,1020
67723121,140
1370984029,310
1351532015401766913,1020
63285695,250
607606955,200
403061780,180
884923473205788677,930
1235968279627341824,930
348619040,180
765292310410194944,1120
1378060307298455566,810
1034272294976348162,1070
1348225250,270
3314899643,370
1102564461125271552,1080
80720809,120
1248648536205467654,910
954017130999173120,1080
1372977214921322498,940
50627465,160
1376006279538343945,810
1358098056705699840,800
1188812601167364097,850
1021030277299294208,920
143317866,190
1387608753273516035,1070
145429538,150
335072055,180
1336884986717364225,750
171534061,190
1377756983340716035,840
1347246275847200770,880
1245461698489782272,1000
1139050558529179649,890
1048762266022240256,1060
64947352,160
2972146773,350
51646107,150
3120222796,220
1377787931499360256,940
1003485507182120961,1030
1024339320717672449,870
1067213041257852929,860
1223039122379628544,1050
1154886863758475266,830
1246940660936118272,1080
1186835247939358720,940
3076073224,200
798608916015939584,960
1117244378995658752,980
1267525934074269696,760
1185738394686705664,1000
2798726385,290
1183858136727392258,880
1002569353525637121,930
1249208545796599809,930
44249681,190
1226305470715002880,900
922345554,180
261882491,130
1185924625789796352,900
1975406424,230
4701657912,200
264288561,170
2947507695,270
626327066,210
722224838144880641,760
4860327240,210
264312652,220
566848270,130
1309677993644756994,1050
59378799,140
1321529281869209603,900
929314871728136192,820
1186335319890812928,780
1336760005572370433,860
122525387,170
171199702,170
1385063734666797059,800
1332046787327234050,840
1192537146646781957,740
746584899394506752,910
1188293857055793152,770
1239240478945685507,770
1368272931390959618,740
177670033,170
20792701,140
1284299698321477634,820
1556173386,260
1340300574810656779,730
1375939806123921414,810
912823155927977985,1320
1174732881412939777,830
180165576,160
627937872,220
38494309,110
170888380,270
123087096,170
1232837918210904064,960
1300286106529927168,740
1382517729337483266,740
60414021,50
1062851081435258880,980
308804337,170
280687108,170
18732153,140
1317591744050024450,770
1267999953365995521,850
897218206527623168,820
3418596876,240
1050381402414440449,820
1206721764,220
2557793919,250
225561373,180
1229852702802358273,720
171206740,120
220579196,140
2795898796,170
3400729383,260
1185400608506945539,760
1055979981120172032,860
1387040773888118796,740
364892600,170
1185536882152738816,810
720641396856791040,1080
1247902017969770496,990
1352644639149453320,760
1362076628596240384,730
1195452848848457731,780
1221760253664137217,830
3437916970,240
755788639322382336,890
1248739575943417856,780
292627886,140
285463199,210
1344671634960093184,730
1267603722575720448,750
155605760,160
1314312092476940288,770
1548303164,200
3029223471,290
760589762134732801,840
1188947336090804224,750
95514345,10
357644151,180
826515137443950592,840
2897540433,280
364334686,270
3244730037,260
1185382318862733312,920
1182899802583031808,790
203310573,150
1285627532516241409,900
776474196,210
90562163,150
146933716,200
2427319015,180
2877042770,310
322840783,160
1234290695667621888,670
3135446200,220
257801224,220
1194330105067311104,850
415755639,110
1220361338,300
1284203409328017408,840
1304424621257752582,970
851898500149374977,1060
710238914808848384,1080
1031711342389092352,950
308230831,120
1294122703880884230,890
1250809078059634692,770
70243042,180
1275926066620661760,760
908426136434171904,730
1415753479,190
459288663,210
3134663452,210
2788808538,250
1194438926448103426,780
193122138,150
4865219955,280
913464033768026118,670
576217240,180
3228765815,180
1064261425,250
1290034269507788801,980
2181032763,250
1149792781415485441,770
1369705447398268932,770
1114643890437533702,810
151960926,140
55464793,210
309232918,140
1334583315085598720,940
1351393499179053057,1080
99584985,130
848573605,150
918617769255624705,1020
227002738,230
331982217,190
313658608,230
465184873,150
212053016,180
222991487,310
81481941,130
1173106427369574401,830
1325762377170767872,820
754486315488509953,970
563290401,140
1357200683666190338,1130
73222278,170
2393065592,340
242878891,180
1330864234981449730,810
185842654,280
1235276599790104577,1340
877575153462296576,1640
714857661326630913,3780
1239698832025321473,680
1192093424553463808,1330
3740816487,610
827717306088353794,2010
2446037264,470
1268026392085659648,1700
141273935,350
1264949724840255488,1280
1395736155094720518,1580
