key,time[ns]
murci,570
murce,210
murcl,230
murca,240
murcg,320
murco,170
murcs,160
murie,400
muril,320
muria,280
murig,340
murio,250
muris,300
murel,200
murea,330
mureg,270
mureo,150
mures,240
murla,380
murlg,280
murlo,150
murls,220
murag,160
murao,270
muras,170
murgo,160
murgs,260
muros,280
mucie,220
mucil,300
mucia,170
mucig,400
mucio,190
mucis,320
mucel,310
mucea,300
muceg,240
muceo,290
muces,200
mucla,420
muclg,230
muclo,270
mucls,240
mucag,250
mucao,400
mucas,280
mucgo,570
mucgs,280
mucos,270
muiel,180
muiea,240
muieg,280
muieo,290
muies,230
muila,240
muilg,310
muilo,150
muils,170
muiag,230
muiao,560
muias,270
muigo,380
muigs,150
muios,150
muela,320
muelg,280
muelo,400
muels,150
mueag,140
mueao,300
mueas,1110
muego,190
muegs,360
mueos,310
mulag,340
mulao,330
mulas,400
mulgo,270
mulgs,150
mulos,310
muago,300
muags,200
muaos,190
mugos,180
mrcie,350
mrcil,310
mrcia,370
mrcig,490
mrcio,310
mrcis,280
mrcel,230
mrcea,310
mrceg,140
mrceo,320
mrces,290
mrcla,160
mrclg,380
mrclo,190
mrcls,370
mrcag,230
mrcao,490
mrcas,300
mrcgo,190
mrcgs,150
mrcos,230
mriel,280
mriea,130
mrieg,310
mrieo,150
mries,220
mrila,330
mrilg,500
mrilo,190
mrils,240
mriag,310
mriao,200
mrias,150
mrigo,240
mrigs,350
mrios,110
mrela,170
mrelg,250
mrelo,250
mrels,200
mreag,390
mreao,300
mreas,130
mrego,240
mregs,260
mreos,120
mrlag,180
mrlao,480
mrlas,270
mrlgo,330
mrlgs,150
mrlos,150
mrago,290
mrags,260
mraos,330
mrgos,130
mciel,210
mciea,190
mcieg,180
mcieo,210
mcies,190
mcila,290
mcilg,360
mcilo,190
mcils,200
mciag,250
mciao,260
mcias,200
mcigo,150
mcigs,220
mcios,500
mcela,210
mcelg,230
mcelo,290
mcels,240
mceag,340
mceao,170
mceas,270
mcego,270
mcegs,130
mceos,260
mclag,260
mclao,310
mclas,300
mclgo,400
mclgs,310
mclos,270
mcago,270
mcags,280
mcaos,200
mcgos,270
miela,240
mielg,150
mielo,270
miels,240
mieag,170
mieao,260
mieas,140
miego,180
miegs,330
mieos,190
milag,220
milao,370
milas,270
milgo,250
milgs,160
milos,200
miago,220
miags,170
miaos,240
migos,250
melag,280
melao,130
melas,360
melgo,270
melgs,190
melos,210
meago,290
meags,210
meaos,330
megos,500
mlago,310
mlags,340
mlaos,170
mlgos,330
magos,240
urcie,230
urcil,260
urcia,300
urcig,260
urcio,340
urcis,150
urcel,490
urcea,300
urceg,260
urceo,260
urces,340
urcla,260
urclg,170
urclo,170
urcls,280
urcag,400
urcao,270
urcas,240
urcgo,230
urcgs,220
urcos,220
uriel,320
uriea,310
urieg,140
urieo,210
uries,130
urila,180
urilg,180
urilo,180
urils,150
uriag,210
uriao,220
urias,230
urigo,90
urigs,170
urios,260
urela,270
urelg,280
urelo,230
urels,160
ureag,280
ureao,150
ureas,230
urego,350
uregs,130
ureos,230
urlag,460
urlao,220
urlas,210
urlgo,310
urlgs,140
urlos,280
urago,250
urags,330
uraos,130
urgos,260
uciel,390
uciea,270
ucieg,240
ucieo,330
ucies,270
ucila,120
ucilg,250
ucilo,160
ucils,240
uciag,240
uciao,170
ucias,320
ucigo,250
ucigs,480
ucios,210
ucela,220
ucelg,310
ucelo,190
ucels,140
uceag,240
uceao,220
uceas,220
ucego,200
ucegs,260
uceos,260
uclag,350
uclao,280
uclas,160
uclgo,250
uclgs,250
uclos,150
ucago,140
ucags,150
ucaos,480
