key,time[ms]
Darm2k1,3
jsarabiv,0
JMolinaPelayo,0
profesortbaker,1
sofria_gs,0
edoplaza1,0
Easybeauty1810,0
pguajardo_,1
ConsejoSalmon,1
HectorBarrenec4,0
CLAUDIOCUEVAS1,1
ngelavilaCid1,1
rod_rojasleon,1
gabriel_reboll,1
mbasualtol,0
Sx0ri,0
AnaHuenten,1
ciencia_unab,0
miguelurreab,0
SantiClaudio9,1
Josu39825990,0
paula_pavez,0
zagrarioo,0
cyber_party,0
PizarrroSofia,0
daaany_f,0
LicClaudia4,0
Mximo51872020,1
Patrici51580852,2
ConsorcioFruta,1
Daniela27179210,1
SergioOchoaM,0
felicinda04,0
VoltsChrist,0
marceladiaz_g,0
4nntonia,1
Namila06,0
piprujap,0
noemiapv,1
Dilam54647935,0
natiperiodista,0
chicowhoball,0
jenypey,0
MaiaMontana_,0
flovillagranx,1
yeri_ae,0
marcoaravena,0
mapa4824,0
sinvirunvica,0
nandzan,0
macuna70,1
ClaudiaPangui1,0
Consuelmm,1
RocioGo28410023,0
leonelfierro,1
ConitaPardo,1
PncSmptrn,0
HumelabApp,0
ery_erazo,0
MaryMartinezAba,0
republicando_cl,1
Maurici00352106,2
jrgvalencia,2
alend01399300,1
sergio_uribe_m,1
Luis_QuiVal,0
pnsv190891,0
jotamesi,0
Ricardo54961200,1
PamelaCartes11,0
MartinFaundezL,0
acvul,0
johannadlg1,1
lesliemoyasali1,0
standwithHKb612,0
AcimaGrupo,0
chonx_neon2,1
maeuge_ossandon,0
AngeloAraneda_I,0
andreacabrerad,1
NicolconchaG,0
Cafeconcepcion,1
Alejandro98746,1
Dorigo_mackiver,1
pabmantw2,0
japilobo,1
CaosMariposa,0
catsv1,0
federicocullell,0
JheismarvivasR,0
GiulianaCosta93,0
ERICKGATICAMART,1
com_llambias,0
solileosolilei,0
AleCosas,0
ActualidadSobre,0
felipo_94,0
Darkzaroth,1
traduceconmigo,1
vherrera97,0
Matias4613,0
karukuri,0
cucalobos,0
NataliR28360856,1
aceb30,0
macarenauribem,0
garciaguirre7,1
BorisMaluenda,1
malditanikol,1
PauAviles89,0
96trah,0
jlperelli,1
ChristRob9,0
nigah_cifuentes,0
Osvaldo52072739,2
TecnoChecho,0
AnaFarm77191708,1
insomnskz,0
Ale39400326,0
JoseBisharaYuja,0
MauroCastroSKM,0
artuacuna,1
silvavega71,0
BeyFacundo,0
OAG_UNAL,0
GeneralKenobi_i,0
EscortPlatinumC,1
SusanMHH89,1
paola27463927,0
Nata_Ovalle,1
BarbaraLimonada,1
Valeria22561581,0
martinriveraiu,0
ivonneurzuamya1,0
alexxiss_JDM,1
julioprecom,0
karinmora,1
