key,time[ms]
murci,0.7
murce,0.45
murcl,0.65
murca,0.7
murcg,0.6
murco,0.65
murcs,1.65
murie,0.8
muril,0.7
muria,0.5
murig,0.55
murio,0.5
muris,0.65
murel,0.75
murea,0.85
mureg,0.45
mureo,0.75
mures,0.65
murla,0.6
murlg,0.5
murlo,0.6
murls,0.7
murag,0.4
murao,0.8
muras,0.55
murgo,0.65
murgs,0.65
muros,0.8
mucie,0.65
mucil,0.6
mucia,0.5
mucig,0.5
mucio,0.55
mucis,0.7
mucel,0.9
mucea,0.75
muceg,0.65
muceo,0.55
muces,0.5
mucla,0.8
muclg,0.75
muclo,0.55
mucls,0.65
mucag,0.65
mucao,0.7
mucas,0.6
mucgo,0.8
mucgs,0.6
mucos,0.7
muiel,0.7
muiea,0.65
muieg,0.45
muieo,0.65
muies,0.7
muila,0.5
muilg,0.55
muilo,0.7
muils,0.7
muiag,0.6
muiao,0.9
muias,0.7
muigo,0.45
muigs,0.6
muios,0.55
muela,0.8
muelg,0.65
muelo,0.75
muels,0.55
mueag,0.55
mueao,0.75
mueas,0.75
muego,0.55
muegs,0.6
mueos,0.4
mulag,0.75
mulao,0.8
mulas,1.25
mulgo,0.75
mulgs,0.7
mulos,0.7
muago,0.8
muags,0.65
muaos,0.7
mugos,0.4
mrcie,0.7
mrcil,1
mrcia,1.6
mrcig,1.5
mrcio,1.7
mrcis,128.35
mrcel,3.5
mrcea,1.05
mrceg,2.4
mrceo,1.55
mrces,0.8
mrcla,0.8
mrclg,0.9
mrclo,1.2
mrcls,1.5
mrcag,0.9
mrcao,0.9
mrcas,0.75
mrcgo,0.8
mrcgs,0.65
mrcos,0.55
mriel,0.9
mriea,0.75
mrieg,0.65
mrieo,0.45
mries,0.7
mrila,0.85
mrilg,0.9
mrilo,0.75
mrils,1.7
mriag,1.65
mriao,1.35
mrias,1.2
mrigo,1.2
mrigs,0.8
mrios,0.8
mrela,0.8
mrelg,0.6
mrelo,0.5
mrels,0.55
mreag,0.75
mreao,0.7
mreas,0.65
mrego,0.75
mregs,0.7
mreos,0.35
mrlag,0.7
mrlao,0.85
mrlas,0.75
mrlgo,0.5
mrlgs,0.35
mrlos,0.65
mrago,0.55
mrags,0.45
mraos,0.9
mrgos,0.5
mciel,0.6
mciea,0.45
mcieg,0.55
mcieo,0.45
mcies,0.45
mcila,0.6
mcilg,0.8
mcilo,0.8
mcils,0.65
mciag,0.6
mciao,0.75
mcias,0.5
mcigo,0.55
mcigs,0.55
mcios,1.05
mcela,0.65
mcelg,0.55
mcelo,0.8
mcels,1
mceag,0.9
mceao,0.65
mceas,0.7
mcego,0.7
mcegs,0.55
mceos,0.45
mclag,0.55
mclao,0.75
mclas,0.8
mclgo,0.9
mclgs,0.65
mclos,0.7
mcago,0.65
mcags,0.7
mcaos,0.75
mcgos,0.7
miela,1.1
mielg,0.25
mielo,0.45
miels,0.75
mieag,0.5
mieao,0.55
mieas,0.5
miego,0.7
miegs,0.9
mieos,0.7
milag,0.8
milao,0.55
milas,0.7
milgo,0.7
milgs,0.35
milos,0.95
miago,0.55
miags,0.5
miaos,0.7
migos,1
melag,0.6
melao,0.6
melas,0.7
melgo,0.75
melgs,0.65
melos,0.4
meago,0.75
meags,0.5
meaos,0.7
megos,0.8
mlago,0.7
mlags,0.65
mlaos,0.55
mlgos,0.85
magos,0.75
urcie,0.45
urcil,0.9
urcia,0.7
urcig,0.6
urcio,0.65
urcis,0.85
urcel,0.75
urcea,0.6
urceg,0.65
urceo,0.8
urces,0.65
urcla,0.5
urclg,0.5
urclo,0.55
urcls,0.55
urcag,0.7
urcao,0.65
urcas,0.8
urcgo,0.4
urcgs,0.5
urcos,0.75
uriel,0.6
uriea,0.5
urieg,0.3
urieo,0.5
uries,0.55
urila,0.5
urilg,0.65
urilo,0.6
urils,0.35
uriag,0.7
uriao,0.6
urias,0.4
urigo,0.75
urigs,0.35
urios,0.75
urela,0.9
urelg,0.65
urelo,0.4
urels,0.7
ureag,0.6
ureao,0.5
ureas,0.4
urego,0.7
uregs,0.25
ureos,0.35
urlag,0.9
urlao,0.85
urlas,0.4
urlgo,0.4
urlgs,0.65
urlos,0.6
urago,0.65
urags,0.7
uraos,0.55
urgos,0.55
uciel,0.85
uciea,0.8
ucieg,0.65
ucieo,0.7
ucies,0.6
ucila,0.45
ucilg,0.65
ucilo,0.7
ucils,0.55
uciag,0.8
uciao,0.7
ucias,0.7
ucigo,0.4
ucigs,0.65
ucios,0.6
ucela,0.45
ucelg,0.7
ucelo,0.85
ucels,0.7
uceag,0.5
uceao,0.65
uceas,0.55
ucego,0.85
ucegs,0.6
uceos,0.5
uclag,1.05
uclao,0.6
uclas,0.5
uclgo,0.65
uclgs,0.7
uclos,0.75
ucago,0.55
ucags,0.5
ucaos,0.8
