key,time[ms]
4910142,0.1
7854131,0.1
5895826,0.1
381216,0.05
1028992,0.05
8233048,0
7474511,0
9291902,0.1
5544010,0
7501119,0.1
3654428,0.05
1620272,0.1
1994537,0
3417596,0
1754917,0
1672744,0.05
6880146,0
3311695,0
9732356,0.05
2125270,0.1
9234282,0.05
5402031,0.1
7093005,0.05
5069611,0.05
4859134,0.05
2194204,0.05
6208052,0
7963415,0.1
8569886,0.05
5574132,0.05
993048,0
9653856,0.05
261883,0
4643446,0
2099579,0.1
7676324,0.05
3512648,0
194160,0
1122277,0
2588547,0.1
7749424,0.15
3657705,0
9980451,0.1
5967996,0
2386700,0
4209423,0
140509,0.05
5925789,0.05
5666685,0
5227055,0.05
1453296,0.05
4599581,0.05
904266,0.05
9025140,0.1
5480354,0
8093519,0.05
1690378,0.05
7377148,0.05
3543860,0.05
8123206,0.05
3295478,0
3284963,0.1
3524654,0
6207476,0.05
6025013,0.1
3296468,0
5734102,0.05
4514273,0.05
57424,0
2027839,0.15
9127469,0.05
2811687,0.05
5704417,0
6276683,0.05
416884,0.05
5651151,0
7012417,0.1
5568302,0
5624399,0.05
3119556,0
830730,0.05
9977919,0.05
8752230,0.05
1876084,0.05
1358721,0.15
9777162,0.05
9252291,0
5078061,0
1423709,0.05
7766694,0.05
8858733,0.05
9743801,0.05
4146660,0.05
2593832,0.05
8020401,0.05
4526175,0
8083010,0.05
3888577,0.1
4418237,0.15
1196966,0.05
2716149,0.1
9145553,0.1
7372324,0.05
4147112,0
5769087,0.15
7600905,0.1
5107104,0
1896377,0.1
9870769,0.15
4340900,0
6864217,0.05
3537738,0
864880,0
102749,0.65
1467162,0.1
7930028,0.05
5780221,0.05
300658,0.05
2227137,0.05
752841,0.1
3559263,0.1
9542227,0.05
1554864,0
9282801,0
4720576,0.1
9884632,0.05
5773978,0
7696908,0.05
2230199,0.1
3167491,1.3
426287,0.15
1963568,0
9047703,0.1
1244770,0.1
2071671,0.25
8215258,0.1
67342,0
5058028,0.05
2526146,0.05
4658799,0
8701759,0.5
9740260,0.1
8659114,0.15
5867676,0.05
9031930,0.05
6727288,0.05
3768047,0.1
6347788,0
1708261,0.1
5743740,0.1
514279,0
6112424,0.05
2786236,0.05
6682370,0.05
7746402,0.1
7233511,0.1
8839802,0.15
1161559,0.1
7302427,0
9875340,0.1
1363971,0.05
6360500,0.05
7863300,0.1
1737272,0.05
4658742,0.05
400926,0
3633416,0.1
5018245,0.05
1800952,0
3366484,0
6213455,0.1
3890352,0.05
1575226,0.05
6629779,0.05
330893,0.05
6827974,0
6244670,0
7121878,0.05
1772744,0.05
7507789,0.05
1373606,0
7666420,0.1
8891719,0.05
747922,0
6762888,0.1
7439666,0
9514500,0
4333834,0.05
7528504,0.05
7327802,0
7075171,0.05
5897089,0.1
2167175,0.05
7487024,0.05
5970483,0
8297088,0
8405176,0.05
1785950,0.05
9759852,0.1
2141365,0.1
2535584,0.05
6074948,0
1705114,0
6002499,0.1
7024967,0
474605,0.05
2201785,0.05
9742932,0
2712316,0
798719,0.1
1795894,0.1
1649551,0.05
8898224,0.15
6803622,0.05
4972801,0.05
1956116,0.15
1779017,0
4863414,0.1
5824440,0.1
5138510,0.05
6737395,0
7421705,0.05
2090678,0
830919,0.05
9354053,0.05
4779255,0.05
4735108,0.05
98099,0
5429924,0.1
8572306,0.05
1021688,0
6523111,0.05
8702578,0.05
7955682,0.05
2774930,0
4447274,0.1
6822875,0.1
4513076,0.15
6696659,0
8940983,0
6808098,0
4572447,0.15
4105659,0.05
5865914,0.05
9934776,0.05
7680601,0.05
1353456,0.05
7793401,0.1
4494300,0
9389874,0.05
3413595,0.1
6712362,0.05
3238695,0
8812126,0.05
7039774,0.05
6305276,0.15
3687871,0.1
2920249,0
1441215,0.05
7451321,0
4929289,0.05
8679009,0.05
1177766,0.1
4478431,0.1
6822189,0.05
8761189,0.1
2223080,0.1
8469183,0.05
7585081,0.05
7327123,0.05
5316976,0
7169198,0.05
7802117,0
7229861,0.1
3799712,0
9813171,0.05
3134996,0.1
3254051,0.1
5921976,2.55
1588258,0.05
6717606,0.1
6440370,0.1
260276,0.05
8766277,0.1
9097058,0.05
9351064,0.1
6812675,0.1
6268335,0.05
5187080,0
720420,0.1
3968348,0.05
6388913,0.1
9741726,0.05
4138391,0.1
2436759,0.05
3996032,0.05
4935413,0.15
5853291,0.05
3661707,0.1
736041,0.1
