key,time[ms]
murci,0
murce,0
murcl,0
murca,0
murcg,0
murco,0
murcs,0
murie,0
muril,0
muria,0
murig,0
murio,0
muris,0
murel,0
murea,0
mureg,0
mureo,0
mures,0
murla,0
murlg,0
murlo,0
murls,0
murag,0
murao,0
muras,0
murgo,0
murgs,0
muros,0
mucie,0
mucil,0
mucia,0
mucig,0
mucio,0
mucis,0
mucel,0
mucea,0
muceg,0
muceo,0
muces,0
mucla,0
muclg,0
muclo,0
mucls,0
mucag,0
mucao,0
mucas,0
mucgo,0
mucgs,0
mucos,0
muiel,0
muiea,0
muieg,0
muieo,0
muies,0
muila,0
muilg,0
muilo,0
muils,0
muiag,0
muiao,0
muias,0
muigo,0
muigs,0
muios,0
muela,0
muelg,0
muelo,0
muels,0
mueag,0
mueao,0
mueas,0
muego,0
muegs,0
mueos,0
mulag,0
mulao,0
mulas,0
mulgo,0
mulgs,0
mulos,0
muago,0
muags,0
muaos,0
mugos,0
mrcie,0
mrcil,0
mrcia,0
mrcig,0
mrcio,0
mrcis,0
mrcel,0
mrcea,0
mrceg,0
mrceo,0
mrces,0
mrcla,0
mrclg,0
mrclo,0
mrcls,0
mrcag,0
mrcao,0
mrcas,0
mrcgo,0
mrcgs,0
mrcos,0
mriel,0
mriea,0
mrieg,0
mrieo,0
mries,0
mrila,0
mrilg,0
mrilo,0
mrils,0
mriag,0
mriao,0
mrias,0
mrigo,0
mrigs,0
mrios,0
mrela,0
mrelg,0
mrelo,0
mrels,0
mreag,0
mreao,0
mreas,0
mrego,0
mregs,0
mreos,0
mrlag,0
mrlao,0
mrlas,0
mrlgo,0
mrlgs,0
mrlos,0
mrago,0
mrags,0
mraos,0
mrgos,0
mciel,0
mciea,0
mcieg,0
mcieo,0
mcies,0
mcila,0
mcilg,0
mcilo,0
mcils,0
mciag,0
mciao,0
mcias,0
mcigo,0
mcigs,0
mcios,0
mcela,0
mcelg,0
mcelo,0
mcels,0
mceag,0
mceao,0
mceas,0
mcego,0
mcegs,0
mceos,0
mclag,0
mclao,0
mclas,0
mclgo,0
mclgs,0
mclos,0
mcago,0
mcags,0
mcaos,0
mcgos,0
miela,0
mielg,0
mielo,0
miels,0
mieag,0
mieao,0
mieas,0
miego,0
miegs,0
mieos,0
milag,0
milao,0
milas,0
milgo,0
milgs,0
milos,0
miago,0
miags,0
miaos,0
migos,0
melag,0
melao,0
melas,0
melgo,0
melgs,0
melos,0
meago,0
meags,0
meaos,0
megos,0
mlago,0
mlags,0
mlaos,0
mlgos,0
magos,0
urcie,0
urcil,0
urcia,0
urcig,0
urcio,0
urcis,0
urcel,0
urcea,0
urceg,0
urceo,0
urces,0
urcla,0
urclg,0
urclo,0
urcls,0
urcag,0
urcao,0
urcas,0
urcgo,0
urcgs,0
urcos,0
uriel,0
uriea,0
urieg,0
urieo,0
uries,0
urila,0
urilg,0
urilo,0
urils,0
uriag,0
uriao,0
urias,0
urigo,0
urigs,0
urios,0
urela,0
urelg,0
urelo,0
urels,0
ureag,0
ureao,0
ureas,0
urego,0
uregs,0
ureos,0
urlag,0
urlao,0
urlas,0
urlgo,0
urlgs,0
urlos,0
urago,0
urags,0
uraos,0
urgos,0
uciel,0
uciea,0
ucieg,0
ucieo,0
ucies,0
ucila,0
ucilg,0
ucilo,0
ucils,0
uciag,0
uciao,0
ucias,0
ucigo,0
ucigs,0
ucios,0
ucela,0
ucelg,0
ucelo,0
ucels,0
uceag,0
uceao,0
uceas,0
ucego,0
ucegs,0
uceos,0
uclag,0
uclao,0
uclas,0
uclgo,0
uclgs,0
uclos,0
ucago,0
ucags,0
ucaos,0
